,transaction_id
5,109004.0
1253,109047.0
1589,109006.0
1908,109027.0
2151,109041.0
2589,109037.0
3329,109018.0
3376,109028.0
3385,109035.0
3556,109023.0
4415,109011.0
4727,109054.0
4972,109009.0
5066,109057.0
6234,109052.0
6743,109010.0
7232,109003.0
8235,109040.0
8572,109000.0
8673,109002.0
8856,109051.0
9961,109012.0
10230,109024.0
11908,109033.0
12056,109029.0
12479,109036.0
12565,109019.0
13173,109058.0
13922,109044.0
14222,109017.0
14361,109020.0
14771,109055.0
15417,109026.0
15564,109031.0
15600,109042.0
15746,109005.0
16658,109043.0
17182,109039.0
17393,109022.0
17572,109014.0
17776,109049.0
