,transaction_id
5,109004.0
1253,109047.0
1589,109006.0
1908,109027.0
2151,109041.0
2589,109037.0
3329,109018.0
3376,109028.0
3385,109035.0
3556,109023.0
4415,109011.0
4727,109054.0
4972,109009.0
5066,109057.0
6234,109052.0
6743,109010.0
7232,109003.0
8235,109040.0
8572,109000.0
8673,109002.0
8856,109051.0
9961,109012.0
10230,109024.0
11908,109033.0
12056,109029.0
12479,109036.0
12565,109019.0
13173,109058.0
13922,109044.0
14222,109017.0
14361,109020.0
14771,109055.0
15417,109026.0
15564,109031.0
15600,109042.0
15746,109005.0
16658,109043.0
17182,109039.0
17393,109022.0
17572,109014.0
17776,109049.0
17930,595112.0
17931,595113.0
17932,595114.0
17933,595115.0
17934,595116.0
17935,595117.0
17936,595118.0
17937,595119.0
17938,595120.0
17939,595121.0
17940,595122.0
17941,595123.0
17942,595124.0
17943,595125.0
17944,595126.0
17945,595127.0
17946,595128.0
17947,595129.0
17948,595130.0
17949,595131.0
17950,595132.0
17951,595133.0
17952,595134.0
17953,595135.0
17954,595136.0
17956,595138.0
17957,595139.0
17958,595140.0
17959,595141.0
17960,595142.0
17961,595143.0
17962,595144.0
17963,595145.0
17964,595146.0
17965,595147.0
17966,595148.0
17967,595149.0
17968,595150.0
17969,595151.0
17970,595152.0
17971,595153.0
17972,595154.0
17973,595155.0
17975,595157.0
17976,595158.0
17977,595159.0
17979,595161.0
