Description,Electricity_bill
Electricity Bill - Offices,1
Electricity Bill - Irrigation Pumps,1
Electricity Bill - Cold storage,1
Electric power consumption - Main facility,1
Monthly electricity charges,1
Power bill - Warehouse,1
Electrical utility payment,1
Energy bill - Processing plant,1
Electricity usage charges,1
Power consumption invoice,1
Electric service - Monthly,1
Utility bill for electricity,1
Electricity account payment,1
Power supply charges,1
Monthly electric bill,1
Electricity Bill - Manufacturing,1
Energy consumption - Factory,1
Electric meter reading charges,1
Power utility payment,1
Electricity invoice - Operations,1
Invoice #45-A Agricultural diesel,0
Payment for legal services,0
Purchase Ammonium Nitrate 10000tons,0
Tractor T-100 Maintenance,0
Invoice #88-B Diesel fuel,0
Office stationery purchase,0
Seed purchase - Wheat variety A,0
Water supply - Irrigation system,0
Pesticide purchase - Herbicide XL,0
Monthly salary payment,0
Insurance premium - Equipment,0
Fertilizer - Potassium mix,0
Harvester maintenance service,0
Accounting software subscription,0
Seed purchase - Corn hybrid B,0
Telephone and internet services,0
Fungicide treatment supplies,0
Warehouse rent payment,0
Irrigation system repair,0
Tax consulting services,0
Electricity costs - Building A,1
Power bill - Office complex,1
Electric utility - Monthly charge,1
Electricity payment - Facilities,1
Energy bill - Production floor,1
Monthly power invoice,1
Electricity charges - Operations,1
Utility electric service,1
Power consumption - Industrial,1
Electricity Bill - Workshop,1
Electric service charges,1
Monthly electricity invoice,1
Power supply bill,1
Electricity usage - Main site,1
Energy consumption charges,1
Electric utility bill - Monthly,1
Electricity payment invoice,1
Power charges - Facility,1
Monthly electric usage,1
Electricity Bill - Storage facility,1
Vehicle insurance premium,0
Office cleaning services,0
Fertilizer - Nitrogen compound,0
Packaging materials purchase,0
Tractor tire replacement,0
Laboratory soil testing,0
Grain storage facility maintenance,0
Pesticide purchase - Insecticide Pro,0
Office supplies and printer toner,0
Property tax payment,0
Seed purchase - Soybean premium,0
Temporary labor - Planting season,0
Fertilizer - Phosphate blend,0
Equipment transport services,0
Combine harvester annual service,0
Crop insurance premium,0
Irrigation pipe replacement,0
Safety equipment and workwear,0
Bank service charges,0
Pesticide purchase - Weed control,0
Electric bill - Administration,1
Power invoice - Production,1
Electricity charges - Plant,1
Monthly energy bill,1
Electric service payment,1
Electricity Bill - Laboratory,1
Power utility invoice,1
Energy charges - Operations,1
Electricity consumption bill,1
Electric power invoice,1
Monthly electricity payment,1
Power bill - Manufacturing unit,1
Electricity usage invoice,1
Energy bill - Warehouse,1
Electric utility charges,1
Electricity Bill - Pumping station,1
Power consumption charges,1
Monthly electric service,1
Electricity invoice - Building B,1
Energy supply charges,1
Packaging tape and boxes,0
Vehicle fleet maintenance,0
Legal consultation - Contracts,0
