Description,Water_bill
Water supply - Irrigation system,1
Water Bill - Offices,1
Water and sewer charges,1
Municipal water service,1
Water utility payment,1
Water consumption charges,1
Water service - Main facility,1
Monthly water bill,1
Water usage invoice,1
Water supply charges,1
Water utility - Operations,1
Water service payment,1
Water consumption - Factory,1
Water Bill - Processing plant,1
Monthly water charges,1
Water meter reading charges,1
Water supply invoice,1
Water usage - Industrial,1
Water service charges,1
Water Bill - Warehouse,1
Invoice #45-A Agricultural diesel,0
Payment for legal services,0
Purchase Ammonium Nitrate 10000tons,0
Tractor T-100 Maintenance,0
Invoice #88-B Diesel fuel,0
Office stationery purchase,0
Seed purchase - Wheat variety A,0
Electricity Bill - Irrigation Pumps,0
Pesticide purchase - Herbicide XL,0
Monthly salary payment,0
Insurance premium - Equipment,0
Fertilizer - Potassium mix,0
Harvester maintenance service,0
Accounting software subscription,0
Seed purchase - Corn hybrid B,0
Telephone and internet services,0
Fungicide treatment supplies,0
Warehouse rent payment,0
Irrigation system repair,0
Tax consulting services,0
Water Bill - Irrigation facilities,1
Water consumption - Agricultural,1
Water supply - Production area,1
Monthly water invoice,1
Water service - Manufacturing,1
Water usage charges,1
Water utility bill,1
Water consumption invoice,1
Water Bill - Greenhouse,1
Water supply - Processing,1
Water service invoice,1
Water charges - Operations,1
Monthly water payment,1
Water usage - Facility,1
Water Bill - Livestock,1
Water utility charges,1
Water consumption - Plant,1
Water service - Industrial site,1
Water supply payment,1
Water Bill - Cooling system,1
Vehicle insurance premium,0
Office cleaning services,0
Fertilizer - Nitrogen compound,0
Packaging materials purchase,0
Tractor tire replacement,0
Laboratory soil testing,0
Grain storage facility maintenance,0
Pesticide purchase - Insecticide Pro,0
Office supplies and printer toner,0
Property tax payment,0
Seed purchase - Soybean premium,0
Temporary labor - Planting season,0
Fertilizer - Phosphate blend,0
Equipment transport services,0
Combine harvester annual service,0
Crop insurance premium,0
Electricity Bill - Cold storage,0
Safety equipment and workwear,0
Bank service charges,0
Pesticide purchase - Weed control,0
Water Bill - Administration building,1
Water supply charges - Monthly,1
Water consumption - Warehouse,1
Water service - Factory floor,1
Municipal water invoice,1
Water usage - Processing plant,1
Water Bill - Office complex,1
Water utility payment - Monthly,1
Water charges - Manufacturing,1
Water supply - Industrial facility,1
Water consumption charges - Factory,1
Water service - Distribution center,1
Monthly water usage,1
Water Bill - Production facility,1
Water utility invoice,1
Water supply - Operations center,1
Water charges - Plant operations,1
Water consumption - Office,1
Water service payment - Monthly,1
Water Bill - Equipment cooling,1
Packaging tape and boxes,0
Vehicle fleet maintenance,0
Legal consultation - Contracts,0
Fertilizer - Micronutrient mix,0
Temporary labor - Harvest season,0
Seed treatment chemicals,0
Transport fuel cards top-up,0
Grain dryer maintenance,0
Marketing and advertising,0
Office furniture replacement,0
Fuel purchase - Diesel,0
Machinery repair services,0
Building maintenance,0
Computer equipment purchase,0
Professional consulting fees,0
Annual insurance renewal,0
Pest control services,0
Waste disposal services,0
Security system maintenance,0
Printer lease payment,0
Water Bill - Cleaning operations,1
Water supply invoice - Factory,1
Water consumption - Distribution,1
Water service - Warehouse facility,1
Monthly water bill - Operations,1
Water usage charges - Plant,1
Water utility - Manufacturing site,1
Water charges - Processing facility,1
Water supply payment - Monthly,1
Water Bill - Sanitation,1
Water consumption invoice - Operations,1
Water service - Production area,1
Water usage - Industrial park,1
Water supply charges - Factory,1
Municipal water bill,1
Water Bill - Washroom facilities,1
Water utility charges - Monthly,1
Water consumption - Manufacturing,1
Water service invoice - Facility,1
Water charges - Distribution center,1
Janitorial supplies,0
Fire extinguisher inspection,0
HVAC system maintenance,0
Plumbing repairs,0
Paint and hardware supplies,0
Landscaping services,0
Snow removal services,0
Window cleaning,0
Carpet cleaning services,0
Pest inspection,0
Roof maintenance,0
Door repair services,0
Lock replacement,0
Signage installation,0
Parking lot maintenance,0
Fence repair,0
Lighting fixture replacement,0
Flooring repairs,0
Elevator maintenance,0
Sprinkler system repair,0
Water Bill - Field irrigation,1
Water supply - Warehouse operations,1
Water consumption charges - Production,1
Water service - Office building,1
Monthly water invoice - Factory,1
Water usage - Distribution facility,1
Water Bill - Process water,1
Water utility payment - Operations,1
Water charges - Industrial facility,1
Water supply invoice - Manufacturing,1
Water consumption - Processing unit,1
Water service - Factory operations,1
Water usage charges - Warehouse,1
Water Bill - Boiler feed water,1
Municipal water charges,1
Water supply - Production floor,1
Water consumption invoice - Factory,1
Water service payment - Operations,1
Water charges - Office complex,1
Water Bill - Fire suppression system,1
IT support services,0
Software licensing fees,0
Cloud storage subscription,0
Network maintenance,0
Hardware upgrade costs,0
Cybersecurity services,0
Database management fees,0
Email hosting services,0
Domain registration,0
SSL certificate renewal,0
Backup services,0
Video conferencing subscription,0
Project management software,0
CRM system subscription,0
Antivirus software license,0
Web hosting fees,0
Technical training courses,0
IT consulting services,0
Server maintenance,0
VPN service subscription,0
Water usage invoice - Production,1
Water Bill - Facility operations,1
Water supply charges - Processing,1
Water consumption - Industrial site,1
Water service - Manufacturing plant,1
Monthly water payment - Warehouse,1
Water utility invoice - Factory,1
Water charges - Operations facility,1
Water supply - Distribution operations,1
Water Bill - Cooling towers,1
Water consumption charges - Office,1
Water service invoice - Production,1
Water usage - Factory facility,1
Water supply payment - Operations,1
Water Bill - Steam generation,1
Water utility charges - Manufacturing,1
Water consumption - Warehouse site,1
Water service - Processing operations,1
Water charges - Industrial operations,1
Monthly water bill - Production,1
Employee training programs,0
Health and safety equipment,0
First aid supplies,0
Uniforms and protective gear,0
Employee wellness program,0
Staff recognition awards,0
Team building activities,0
Professional development courses,0
Industry conference fees,0
Trade show participation,0
Business travel expenses,0
Hotel accommodations,0
Meal reimbursements,0
Transportation costs,0
Mileage reimbursement,0
Parking fees,0
Toll road charges,0
Rental car expenses,0
Flight tickets,0
Taxi and ride-sharing,0
Water Bill - Landscaping irrigation,1
Water supply invoice - Operations,1
Water consumption - Factory floor,1
Water service - Distribution warehouse,1
Monthly water usage - Manufacturing,1
Water utility payment - Facility,1
Water charges - Processing plant,1
Water supply - Office operations,1
Water Bill - Drinking water,1
Water consumption invoice - Warehouse,1
Water service - Industrial operations,1
Water usage charges - Factory,1
Water supply charges - Production,1
Water Bill - Laboratory operations,1
Municipal water service - Monthly,1
Water consumption - Operations center,1
Water utility invoice - Processing,1
Water service payment - Factory,1
Water charges - Manufacturing facility,1
Water Bill - Wash stations,1
Office rent payment,0
Property lease,0
Equipment rental,0
Vehicle lease payment,0
Forklift rental,0
Generator rental,0
Scaffolding rental,0
Tool rental,0
Storage unit rental,0
Container rental,0
Trailer rental,0
Conference room rental,0
Event space rental,0
Temporary office rental,0
Parking space lease,0
Land lease payment,0
Billboard rental,0
Display booth rental,0
Audio equipment rental,0
Catering services,0
Water usage - Processing facility,1
Water Bill - Quality control lab,1
Water supply payment - Manufacturing,1
Water consumption charges - Distribution,1
Water service invoice - Operations,1
Monthly water charges - Factory,1
Water utility - Warehouse operations,1
Water charges - Production site,1
Water supply - Industrial park,1
Water Bill - Humidification system,1
Water consumption - Manufacturing area,1
Water service - Factory warehouse,1
Water usage invoice - Operations,1
Water supply charges - Office,1
Water Bill - Cleaning processes,1
Water utility charges - Production,1
Water consumption invoice - Processing,1
Water service - Distribution facility,1
Water charges - Warehouse facility,1
Monthly water payment - Operations,1
Legal filing fees,0
Patent application fees,0
Trademark registration,0
Notary services,0
Document translation,0
Courier services,0
Shipping and freight,0
Customs clearance fees,0
Import duties,0
Export documentation,0
Logistics services,0
Warehousing fees,0
Inventory management,0
Quality control inspection,0
Product testing services,0
Certification fees,0
Compliance auditing,0
Environmental assessment,0
Safety inspection,0
Equipment calibration,0
Water Bill - Equipment washing,1
Water supply invoice - Factory floor,1
Water consumption - Warehouse operations,1
Water service - Production facility,1
