Description,Class
Monthly Power Usage -- North America,Electricity
Energy Supply Charge -,Electricity
Winter Heating Usage -,Heating
Steam Generation Gas -,Heating
Fuel Oil Delivery -- Asia Pacific,Heating
Solid Waste Management Fee -in Year-End,Waste Disposal
Raw Water Intake -- South America,Water
Grid Power Purchase -for Global HQ,Electricity
Recycling Services -- North America,Waste Disposal
Steam Generation Gas -for Basel Site,Heating
Chemical Waste Disposal -,Waste Disposal
Hazardous Waste Disposal -in North America,Waste Disposal
KWh Consumption -- Basel Site,Electricity
Chemical Waste Disposal -- Global HQ,Waste Disposal
Potable Water Supply -,Water
Winter Heating Usage -,Heating
Solid Waste Management Fee -for Distribution Center,Waste Disposal
Raw Water Intake -for Monthey Facility,Water
Power Consumption -- Q3 Period,Electricity
Potable Water Supply -for R&D Center,Water
KWh Consumption -- North America,Electricity
Municipal Water Charge -for Distribution Center,Water
Winter Heating Usage -for Distribution Center,Heating
Propane Supply -for European Operations,Heating
Non-Hazardous Waste Disposal -for Monthey Facility,Waste Disposal
Marketing Campaign - Digital Ads,Other
Chemical Waste Disposal -,Waste Disposal
Natural Gas Supply -in Monthey Facility,Heating
Medical Waste Collection -in Global HQ,Waste Disposal
Energy Efficiency Study,Other
Monthly Water Usage -for Distribution Center,Water
Bulk Water Purchase -for Distribution Center,Water
Power Consumption -- Asia Pacific,Electricity
Industrial Waste Pickup -for R&D Center,Waste Disposal
Non-Hazardous Waste Disposal -in Manufacturing Plant,Waste Disposal
Electricity Supply -in South America,Electricity
Heating Fuel Purchase -- Basel Site,Heating
Recycling Services -for Manufacturing Plant,Waste Disposal
Medical Waste Collection -- Basel Site,Waste Disposal
Raw Water Intake -for R&D Center,Water
Heating Fuel Purchase -,Heating
Winter Heating Usage -for European Operations,Heating
Chemical Waste Disposal -for South America,Waste Disposal
Industrial Waste Pickup -- Manufacturing Plant,Waste Disposal
Hazardous Waste Disposal -for Asia Pacific,Waste Disposal
KWh Consumption -for Basel Site,Electricity
Water Consumption -- North America,Water
Heating Fuel Purchase -for Global HQ,Heating
Heating Fuel Purchase -for Year-End,Heating
Electricity Meter Reading -in Asia Pacific,Electricity
Fuel Oil Delivery -,Heating
Industrial Waste Pickup -for Global HQ,Waste Disposal
Heating Fuel Purchase -- Monthey Facility,Heating
Electricity Meter Reading -- North America,Electricity
Electricity Meter Reading -for Year-End,Electricity
Propane Supply -,Heating
Monthly Power Usage -in Year-End,Electricity
Monthly Power Usage -in Q3 Period,Electricity
Industrial Waste Pickup -for Basel Site,Waste Disposal
Heating Fuel Purchase -- European Operations,Heating
IT System Upgrade - Software Licenses,Other
Industrial Waste Pickup -in Asia Pacific,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Hazardous Waste Disposal -- North America,Waste Disposal
Water Quality Testing Fee,Other
Monthly Power Usage -- Q3 Period,Electricity
Medical Waste Collection -for Monthey Facility,Waste Disposal
Electricity Meter Reading -,Electricity
Heating Fuel Purchase -in Distribution Center,Heating
Water Supply -in Asia Pacific,Water
Employee Salaries - Month End,Other
Grid Power Purchase -,Electricity
Irrigation System Installation,Other
Propane Supply -for Q3 Period,Heating
Legal Fees - Patent Litigation,Other
Monthly Water Usage -,Water
Transformer Upgrade Project,Other
Travel & Entertainment Expense,Other
Natural Gas Supply -- Manufacturing Plant,Heating
Heat Exchanger Cleaning,Other
Solid Waste Management Fee -- Q3 Period,Waste Disposal
Solid Waste Management Fee -in Basel Site,Waste Disposal
Medical Waste Collection -- Global HQ,Waste Disposal
Water Consumption -in Asia Pacific,Water
Utility Meter Calibration,Other
Natural Gas Line Inspection Fee,Other
Potable Water Supply -in South America,Water
Solid Waste Management Fee -for North America,Waste Disposal
Electricity Supply -- Asia Pacific,Electricity
Utility Meter Calibration,Other
Chemical Waste Disposal -,Waste Disposal
Monthly Water Usage -for Asia Pacific,Water
Water Supply -,Water
Electric Utility Bill -for Q3 Period,Electricity
Heating Expense -- R&D Center,Heating
Natural Gas Line Inspection Fee,Other
Solid Waste Management Fee -,Waste Disposal
Water Consumption -in Basel Site,Water
Chemical Waste Disposal -,Waste Disposal
Non-Hazardous Waste Disposal -in Year-End,Waste Disposal
Electricity Meter Reading -- Asia Pacific,Electricity
Chemical Waste Disposal -,Waste Disposal
Gas Utility Bill -- Manufacturing Plant,Heating
Steam Generation Gas -in European Operations,Heating
Municipal Water Charge -,Water
KWh Consumption -for Year-End,Electricity
Water Supply -- European Operations,Water
Water Utility Bill -for South America,Water
Transformer Upgrade Project,Other
Water Supply -,Water
Heating Expense -,Heating
Heating Fuel Purchase -for North America,Heating
Propane Supply -in Q3 Period,Heating
Landfill Site Permit Renewal,Other
Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Water System Cleaning & Descaling,Other
Potable Water Supply -in Basel Site,Water
Natural Gas Supply -in South America,Heating
Gas Utility Bill -,Heating
Steam Generation Gas -,Heating
Recycling Services -,Waste Disposal
Recycling Services -in Basel Site,Waste Disposal
Electricity Supply -,Electricity
Chemical Waste Disposal -- Manufacturing Plant,Waste Disposal
Municipal Water Charge -- R&D Center,Water
Drainage System Maintenance,Other
